long,lat,id,nombre,linea,linea_2,ramal,barrio,comuna,localidad,partido
-58.4728065,-34.5247233,408,Vicente López,Mitre,F.C.G.B.M., Retiro - Tigre,,,Vicente L\u00f3pez,Vicente L\u00f3pez
-58.5411284,-34.4561533,409,Victoria,Mitre,F.C.G.B.M., Retiro - Tigre,,,Victoria,San Fernando
-58.5507001,-34.4506827,428,Virreyes,Mitre,F.C.G.B.M., Retiro - Tigre,,,Virreyes,San Fernando
-58.3942737,-34.7978483,8,Adrogué,Roca,F.C.G.R., Plaza Constitución - Alejandro Korn,,,Adrogu\u00e9,Almirante Brown
-58.3913722,-34.8251482,49,Burzaco,Roca,F.C.G.R., Plaza Constitución - Alejandro Korn,,,Burzaco,Almirante Brown
-58.3837029,-34.8886501,152,Glew,Roca,F.C.G.R., Plaza Constitución - Alejandro Korn,,,Glew,Almirante Brown
-58.3871987,-34.8595879,239,Longchamps,Roca,F.C.G.R., Plaza Constitución - Alejandro Korn,,,Longchamps,Almirante Brown
-58.3738144,-34.9804097,13,Alejandro Korn,Roca,F.C.G.R., Plaza Constitución - Alejandro Korn,,,San Vicente,San Vicente
-58.3805605,-34.9179155,165,Guernica,Roca,F.C.G.R., Plaza Constitución - Alejandro Korn,,,Presidente Per\u00f3n,Presidente Per\u00f3n
-58.5059186,-34.7099772,9,Agustín de Elía,Roca,F.C.G.R., Temperley - Haedo,,,Aldo Bonzi,La Matanza
-58.4072878,-34.7862792,174,Hospital Español,Roca,F.C.G.R., Temperley - Haedo,,,Turdera,Lomas de Zamora
-58.5730377,-34.6580457,182,Ingeniero S. Brian,Roca,F.C.G.R., Temperley - Haedo,,,Ramos Mejia,La Matanza
-58.4441098,-34.7713636,201,Juan XXIII,Roca,F.C.G.R., Temperley - Haedo,,,Lomas de Zamora,Lomas de Zamora
-58.465016,-34.7434594,205,Km. 34,Roca,F.C.G.R., Temperley - Haedo,,,Ingeniero Budge,Lomas de Zamora
-58.4748755,-34.7332318,314,P. Turner,Roca,F.C.G.R., Temperley - Haedo,,,Ingeniero Budge,Lomas de Zamora
-58.555356,-34.6741934,359,San Justo,Roca,F.C.G.R., Temperley - Haedo,,,San Justo,La Matanza
-58.4373374,-34.7804203,365,Santa Catalina,Roca,F.C.G.R., Temperley - Haedo,,,Llavallol,Lomas de Zamora
-58.5280209,-34.6930707,383,Tablada,Roca,F.C.G.R., Temperley - Haedo,,,La Tablada,La Matanza
-58.5141386,-34.7106549,12,Aldo Bonzi,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Aldo Bonzi,La Matanza
-58.4199555,-34.6481153,121,Dr. Sáenz,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,Nueva Pompeya,Comuna 4,,
-58.5879899,-34.7044639,184,Isidro Casanova,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Isidro Casanova,La Matanza
-58.537256,-34.710762,195,José Ingenieros,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Ciudad Evita,La Matanza
-58.5519393,-34.708965,203,Justo Villegas,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Ciudad Evita,La Matanza
-58.6861877,-34.6921774,232,Libertad,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Libertad,Merlo
-58.7307061,-34.7086815,259,Marinos C. G. Belgrano,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Parque San Mart\u00edn,Merlo
-58.5076299,-34.6901777,260,Marinos del Fournier,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Villa Madero,La Matanza
-58.6462658,-34.6971714,270,Merlo Gómez,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Castelar,Mor\u00f3n
-58.4502223,-34.6661376,313,Presidente Illia,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,Villa Soldati,Comuna 8,,
-58.6261936,-34.6996965,325,Rafael Castillo,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Rafael Castillo,La Matanza
-58.5238732,-34.7124465,354,Sánchez de Mendeville,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Aldo Bonzi,La Matanza
-58.5115373,-34.7025293,385,Tapiales,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Aldo Bonzi,La Matanza
-58.4769699,-34.67713,422,Villa Lugano,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,Villa Lugano,Comuna 8,,
-58.4925366,-34.6840978,424,Villa Madero,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,,,Villa Madero,La Matanza
-58.4408973,-34.6622014,427,Villa Soldati,Belgrano Sur,F.C.G.B., Buenos Aires - M.C.G. Belgrano,Villa Soldati,Comuna 8,,
-58.6743571,-34.9775385,14,Alejandro Petión,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,Ca\u00f1uelas,Ca\u00f1uelas
-58.6895825,-34.9863555,21,Apeadero Kloosterman,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,Ca\u00f1uelas,Ca\u00f1uelas
-58.7541775,-35.0592254,60,Cañuelas,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,,
-58.5942645,-34.9099069,64,Carlos Spegazzini,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,Carlos Spegazzini,Ezeiza
-58.6205451,-34.9362878,265,Máximo Paz,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,Ca\u00f1uelas,Ca\u00f1uelas
-58.7237738,-35.0216179,333,Ricardo Levene,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,,
-58.5677383,-34.8892028,396,Tristán Suárez,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,Trist\u00e1n Su\u00e1rez,Ezeiza
-58.5432637,-34.8701194,400,Unión Ferroviaria,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,La Uni\u00f3n,Ezeiza
-58.647847,-34.9621814,407,Vicente Casares,Roca,F.C.G.R., Ezeiza - Cañuelas (Eza),,,Ca\u00f1uelas,Ca\u00f1uelas
-58.1512081,-35.3611696,17,Altamirano,Roca,F.C.G.R., Plaza Constitución - Chascomús,,,,
-57.9823866,-35.5790842,78,Chascomus,Roca,F.C.G.R., Plaza Constitución - Chascomús,,,,
-58.2320146,-35.1677373,86,Cnel. Brandsen,Roca,F.C.G.R., Plaza Constitución - Chascomús,,,,
-58.2906247,-35.0701752,117,Doomselar,Roca,F.C.G.R., Plaza Constitución - Chascomús,,,,
-58.0937313,-35.4497875,146,Gándara,Roca,F.C.G.R., Plaza Constitución - Chascomús,,,,
-58.1982603,-35.2776676,189,Jeppener,Roca,F.C.G.R., Plaza Constitución - Chascomús,,,,
-58.5059269,-34.7100582,22,Apeadero Km. 12,Belgrano Sur,F.C.G.B., Apeadero Km 12 - Libertad,,,Aldo Bonzi,La Matanza
-57.9431423,-34.9049408,25,Arquitectura,Roca,F.C.G.R., La Plata - Policlínico,,,,
-57.9190436,-34.920327,113,Diagonal 73,Roca,F.C.G.R., La Plata - Policlínico,,,,
-57.9357323,-34.9033642,179,Informática,Roca,F.C.G.R., La Plata - Policlínico,,,,
-57.9278447,-34.9090514,267,Medicina,Roca,F.C.G.R., La Plata - Policlínico,,,,
-57.9242646,-34.9122051,304,Periodismo,Roca,F.C.G.R., La Plata - Policlínico,,,,
-57.9213044,-34.9253053,311,Policlínico,Roca,F.C.G.R., La Plata - Policlínico,,,,
-58.6029298,-34.4796651,29,Bancalari,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,Victoria,San Fernando
-58.6847612,-34.4091705,37,Benavídez,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,Benav\u00eddez,Tigre
-58.9610031,-34.1565823,55,Campana,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,,
-58.7953571,-34.3494239,130,Escobar,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,Bel\u00e9n de Escobar,Escobar
-58.977169,-34.1602209,204,Kilometro 83,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,,
-58.7362697,-34.3830219,263,Maschwitz,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,Ingeniero Maschwitz,Escobar
-58.8965515,-34.2222066,294,Otamendi,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,,
-58.6201168,-34.4558335,296,Pacheco,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,Troncos del Talar,Tigre
-58.8903315,-34.2778567,335,Rio Lujan,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,,
-59.0378286,-34.0979051,434,Zárate,Mitre,F.C.G.B.M., Villa Ballester - Zárate,,,,
-58.3954246,-34.7436106,30,Banfield,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Banfield,Lomas de Zamora
-58.3382367,-34.80118,85,Claypole,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Claypole,Almirante Brown
-58.3048296,-34.808388,102,Dante Ardigó,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Gobernador Julio A. Costa,Florencio Varela
-58.2742679,-34.8111227,138,Florencio Varela,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Florencio Varela,Florencio Varela
-58.380941,-34.791958,197,José Mármol,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Jos\u00e9 M\u00e1rmol,Almirante Brown
-58.390637,-34.7074543,215,Lanús,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Lan\u00fas Este,Lan\u00fas
-58.3973127,-34.7610318,238,Lomas de Zamora,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Lomas de Zamora,Lomas de Zamora
-58.3591724,-34.7966735,324,Rafael Calzada,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Rafael Calzada,Almirante Brown
-58.3963571,-34.7759243,386,Temperley,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Temperley,Lomas de Zamora
-58.2594167,-34.8106377,435,Zeballos,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Estanislao Severo Zeballos,Florencio Varela
-58.3826371,-34.6857287,151,Gerli,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Pi\u00f1eyro,Avellaneda
-58.3788878,-34.6536422,172,Hipólito Yrigoyen,Roca,F.C.G.R., Plaza Constitución - Bosques-T,Barracas,Comuna 4,,
-58.393661,-34.7270922,329,Remedios de Escalada,Roca,F.C.G.R., Plaza Constitución - Bosques-T,,,Remedios de Escalada,Lan\u00fas
-58.6845919,-34.5638352,36,Bella Vista,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Bella Vista,San Miguel
-58.5124313,-34.6026515,112,Devoto,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,Villa Devoto,Comuna 11,,
-58.5956555,-34.604926,127,El Palomar,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Ciudad Jard\u00edn Lomas de El Palomar,Tres de Febrero
-58.6322349,-34.5911517,177,Hurlingham,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Hurlingham,Hurlingham
-58.7033147,-34.5513662,283,Muñiz,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Mu\u00f1iz,San Miguel
-58.7150571,-34.5431069,361,San Miguel,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,San Miguel,San Miguel
-58.5407521,-34.6036745,369,Santos Lugares,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,,Tres de Febrero
-58.7976033,-34.5039897,378,Sol y Verde,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Jos\u00e9 C. Paz,Jos\u00e9 C. Paz
-58.8768343,-34.4786824,411,Villa Astolfi,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Pilar,Pilar
-58.6565796,-34.5784645,431,William Morris,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,William C. Morris,Hurlingham
-59.075658,-34.4878244,51,Cabred,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,,
-59.0067549,-34.4522459,252,Manzanares,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,,
-58.5644918,-34.6045861,67,Caseros,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Caseros,Tres de Febrero
-58.5274629,-34.6031533,348,Sáenz Peña,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Villa Raffo,Tres de Febrero
-58.4935315,-34.6013699,415,Villa del Parque,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,Villa Del Parque,Comuna 11,,
-58.8384456,-34.4909537,106,Derqui,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Presidente Derqui,Pilar
-58.7494301,-34.5193436,194,José C. Paz,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Jos\u00e9 C. Paz,Jos\u00e9 C. Paz
-58.9079062,-34.4687433,306,Pilar,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,,,Pilar,Pilar
-58.4274154,-34.5796614,297,Palermo,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,Palermo,Comuna 14,,
-58.3756885,-34.5881302,463,Retiro LSM,San Martin,F.C.G.S.M., Retiro (LSM) - Cabred,Retiro,Comuna 1,,
-58.2084433,-34.7640977,38,Berazategui,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Berazategui,Berazategui
-58.280569,-34.7092611,39,Bernal,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Bernal,Quilmes
-58.0420495,-34.8657239,83,City Bell,Roca,F.C.G.R., Plaza Constitución - La Plata,,,City Bell,La Plata
-58.3805834,-34.6301709,93,Constitución,Roca,F.C.G.R., Plaza Constitución - La Plata,Constitucion,Comuna 1,,
-58.2961718,-34.7033242,115,Don Bosco,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Don Bosco,Quilmes
-58.2341863,-34.7518509,133,Ezpeleta,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Ezpeleta,Quilmes
-58.0107856,-34.879841,153,Gonnet,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Manuel B. Gonnet,La Plata
-58.1552692,-34.7911192,176,Hudson,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Hudson,Berazategui
-57.950174,-34.9038945,217,La Plata,Roca,F.C.G.R., Plaza Constitución - La Plata,,,,
-58.0945403,-34.8366304,303,Pereyra,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Pereyra,Berazategui
-58.1707596,-34.7823359,309,Plátanos,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Pl\u00e1tanos,Berazategui
-58.2606591,-34.7246461,322,Quilmes,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Quilmes,Quilmes
-57.9960622,-34.8813876,334,Ringuelet,Roca,F.C.G.R., Plaza Constitución - La Plata,,,,
-58.3768325,-34.6613896,368,S. y Kosteki,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Avellaneda,Avellaneda
-58.3449626,-34.6787475,370,Sarandí,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Sarand\u00ed,Avellaneda
-57.9680983,-34.8909547,392,Tolosa,Roca,F.C.G.R., Plaza Constitución - La Plata,,,,
-58.3253499,-34.6915355,418,Villa Domínico,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Villa Dom\u00ednico,Avellaneda
-58.0751851,-34.8495861,419,Villa Elisa,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Villa Elisa,La Plata
-58.3111938,-34.6975894,430,Wilde,Roca,F.C.G.R., Plaza Constitución - La Plata,,,Wilde,Avellaneda
-58.4845536,-34.5081513,42,Borges,Mitre,F.C.G.B.M., Maipú - Delta,,,Olivos,Vicente L\u00f3pez
-58.5629211,-34.4299116,58,Canal San Fernando,Mitre,F.C.G.B.M., Maipú - Delta,,,Tigre,Tigre
-58.5761953,-34.419003,104,Delta,Mitre,F.C.G.B.M., Maipú - Delta,,,Tigre,Tigre
-58.4812172,-34.4891115,198,Juan Anchorena,Mitre,F.C.G.B.M., Maipú - Delta,,,Mart\u00ednez,San Isidro
-58.4934212,-34.4722137,222,Las Barrancas,Mitre,F.C.G.B.M., Maipú - Delta,,,Acassuso,San Isidro
-58.4821262,-34.5027276,233,Libertador,Mitre,F.C.G.B.M., Maipú - Delta,,,Olivos,Vicente L\u00f3pez
-58.487579,-34.5130886,248,Maipú,Mitre,F.C.G.B.M., Maipú - Delta,,,Olivos,Vicente L\u00f3pez
-58.5390515,-34.4445522,258,Marina Nueva,Mitre,F.C.G.B.M., Maipú - Delta,,,Victoria,San Fernando
-58.5236988,-34.4506585,319,Punta Chica,Mitre,F.C.G.B.M., Maipú - Delta,,,Beccar,San Isidro
-58.553991,-34.4375367,356,San Fernando R,Mitre,F.C.G.B.M., Maipú - Delta,,,San Fernando,San Fernando
-58.5081309,-34.4654466,358,San Isidro R,Mitre,F.C.G.B.M., Maipú - Delta,,,San Isidro,San Isidro
-58.2300795,-34.8195986,43,Bosques,Roca,F.C.G.R., Plaza Constitución - Bosques-Q,,,Bosques,Florencio Varela
-58.2031929,-34.7893721,328,Ranelagh,Roca,F.C.G.R., Plaza Constitución - Bosques-Q,,,Ranelagh,Berazategui
-58.2127388,-34.8065811,380,Sourigues,Roca,F.C.G.R., Plaza Constitución - Bosques-Q,,,Sourigues,Berazategui
-58.1949303,-34.7744501,420,Villa España,Roca,F.C.G.R., Plaza Constitución - Bosques-Q,,,Villa Espa\u00f1a,Berazategui
-58.4436522,-34.6192442,50,Caballito,Sarmiento,F.C.D.F.S., Once - Moreno,Caballito,Comuna 6,,
-58.5411225,-34.6399227,84,Ciudadela,Sarmiento,F.C.D.F.S., Once - Moreno,,,Ciudadela,Tres de Febrero
-58.4661766,-34.6278504,139,Flores,Sarmiento,F.C.D.F.S., Once - Moreno,Flores,Comuna 7,,
-58.4808913,-34.6323755,140,Floresta,Sarmiento,F.C.D.F.S., Once - Moreno,Floresta,Comuna 10,,
-58.5918534,-34.6445334,169,Haedo,Sarmiento,F.C.D.F.S., Once - Moreno,,,Haedo,Mor\u00f3n
-58.5263409,-34.6388728,234,Liniers,Sarmiento,F.C.D.F.S., Once - Moreno,Liniers,Comuna 9,,
-58.6198135,-34.6482227,279,Morón,Sarmiento,F.C.D.F.S., Once - Moreno,,,Mor\u00f3n,Mor\u00f3n
-58.4088675,-34.6086496,293,Once,Sarmiento,F.C.D.F.S., Once - Moreno,Balvanera,Comuna 3,,
-58.5643758,-34.6404544,327,Ramos Mejía,Sarmiento,F.C.D.F.S., Once - Moreno,,,Ramos Mejia,La Matanza
-58.5021311,-34.6362494,423,Villa Luro,Sarmiento,F.C.D.F.S., Once - Moreno,Villa Luro,Comuna 10,,
-58.6425261,-34.6521562,70,Castelar,Sarmiento,F.C.D.F.S., Once - Moreno,,,Castelar,Mor\u00f3n
-58.6663871,-34.6596506,186,Ituzaingó,Sarmiento,F.C.D.F.S., Once - Moreno,,,Ituzaing\u00f3,Ituzaing\u00f3
-58.727685,-34.6644693,269,Merlo,Sarmiento,F.C.D.F.S., Once - Moreno,,,Merlo,Merlo
-58.7895979,-34.6504439,278,Moreno,Sarmiento,F.C.D.F.S., Once - Moreno,,,Mariano Moreno,Moreno
-58.7619414,-34.6582665,300,Paso del Rey,Sarmiento,F.C.D.F.S., Once - Moreno,,,Paso del Rey,Moreno
-58.6979972,-34.6654259,347,S. A. de Padua,Sarmiento,F.C.D.F.S., Once - Moreno,,,San Antonio de Padua,Merlo
-58.566917,-34.542232,79,Chilavert,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,,,General San Mart\u00edn,General San Mart\u00edn
-58.4878391,-34.574712,150,General Urquiza,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,Villa Urquiza,Comuna 12,,
-58.5759809,-34.5347067,190,J. L. Suárez,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,,,General San Mart\u00edn,General San Mart\u00edn
-58.4789912,-34.5684173,236,L. M. Drago,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,Villa Urquiza,Comuna 12,,
-58.5479328,-34.5573725,249,Malaver,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,,,General San Mart\u00edn,General San Mart\u00edn
-58.5170793,-34.5810718,271,Miguelete,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,,,General San Mart\u00edn,General San Mart\u00edn
-58.501898,-34.5804962,318,Pueyrredón,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,Villa Pueyrredon,Comuna 12,,
-58.5406609,-34.5635642,353,San Andrés,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,,,General San Mart\u00edn,General San Mart\u00edn
-58.5319579,-34.5734195,360,San Martín,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,,,General San Mart\u00edn,General San Mart\u00edn
-58.5570784,-34.5501584,412,Villa Ballester,Mitre,F.C.G.B.M., Retiro - J. L. Suárez,,,General San Mart\u00edn,General San Mart\u00edn
-58.5744514,-34.4720989,118,Dr. A. Schweitzer,Mitre,F.C.G.B.M., Victoria - Capilla del Señor,,,Victoria,San Fernando
-58.6460044,-34.4627922,128,El Talar,Mitre,F.C.G.B.M., Victoria - Capilla del Señor,,,General Pacheco,Tigre
-58.7365407,-34.421623,147,Garín,Mitre,F.C.G.B.M., Victoria - Capilla del Señor,,,Gar\u00edn,Escobar
-58.6773897,-34.4468958,240,López Camelo,Mitre,F.C.G.B.M., Victoria - Capilla del Señor,,,General Pacheco,Tigre
-58.7723202,-34.4067502,253,Maq. Savio,Mitre,F.C.G.B.M., Victoria - Capilla del Señor,,,Maquinista Savio,Escobar
-58.8296505,-34.3828607,264,Matheu,Mitre,F.C.G.B.M., Victoria - Capilla del Señor,,,Matheu,Escobar
-58.4961652,-34.8332274,125,El Jagüel,Roca,F.C.G.R., Plaza Constitución - Ezeiza,,,El Jag\u00fcel,Esteban Echeverr\u00eda
-58.5228154,-34.8540842,132,Ezeiza,Roca,F.C.G.R., Plaza Constitución - Ezeiza,,,Ezeiza,Ezeiza
-58.4291553,-34.7970708,235,Llavallol,Roca,F.C.G.R., Plaza Constitución - Ezeiza,,,Llavallol,Lomas de Zamora
-58.4485504,-34.8032178,246,Luis Guillón,Roca,F.C.G.R., Plaza Constitución - Ezeiza,,,Luis Guill\u00f3n,Esteban Echeverr\u00eda
-58.4696989,-34.8144339,277,Monte Grande,Roca,F.C.G.R., Plaza Constitución - Ezeiza,,,Monte Grande,Esteban Echeverr\u00eda
-58.4078781,-34.7950533,399,Turdera,Roca,F.C.G.R., Plaza Constitución - Ezeiza,,,Turdera,Lomas de Zamora
-59.0907406,-35.1514876,129,Empalme Lobos,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,,
-59.0927924,-35.1853363,237,Lobos,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,,
-58.9998545,-35.0021051,381,Speratti,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,,
-59.0418857,-35.0583029,433,Zapiola,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,,
-58.7794327,-34.706078,137,Ferrari,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,Mariano Acosta,Merlo
-58.917861,-34.8923029,173,Hornos,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,,
-58.9444298,-34.9279395,225,Las Heras,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,,
-58.836545,-34.7830555,254,Marcos Paz,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,Marcos Paz,Marcos Paz
-58.7929542,-34.7243253,257,Mariano Acosta,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,Mariano Acosta,Merlo
-58.8921946,-34.8578991,432,Zamudio,Sarmiento,F.C.D.F.S., Merlo - Lobos,,,,
-58.7602409,-34.6801742,464,"Km. 34,5",Sarmiento,F.C.D.F.S., Merlo - Lobos,,,Merlo,Merlo
-58.8553185,-34.6322048,134,F. Álvarez,Sarmiento,F.C.D.F.S., Moreno - Mercedes,,,Francisco \u00c1lvarez,Moreno
-59.352839,-34.6478196,155,Gowland,Sarmiento,F.C.D.F.S., Moreno - Mercedes,,,,
-58.952925,-34.6088711,163,Gral. Rodríguez,Sarmiento,F.C.D.F.S., Moreno - Mercedes,,,General Rodr\u00edguez,General Rodr\u00edguez
